Channel No.	Counts
1	0.0
2	0.0
3	27402.0
4	398334.0
5	164.0
6	51.0
7	37.0
8	50.0
9	59.0
10	60.0
11	82.0
12	78.0
13	71.0
14	77.0
15	71.0
16	81.0
17	68.0
18	83.0
19	71.0
20	67.0
21	75.0
22	73.0
23	72.0
24	67.0
25	72.0
26	69.0
27	105.0
28	86.0
29	77.0
30	67.0
31	65.0
32	71.0
33	54.0
34	66.0
35	77.0
36	71.0
37	71.0
38	65.0
39	77.0
40	61.0
41	70.0
42	56.0
43	61.0
44	60.0
45	71.0
46	63.0
47	57.0
48	51.0
49	45.0
50	53.0
51	62.0
52	77.0
53	67.0
54	54.0
55	45.0
56	57.0
57	67.0
58	47.0
59	46.0
60	56.0
61	42.0
62	46.0
63	46.0
64	51.0
65	44.0
66	52.0
67	57.0
68	45.0
69	44.0
70	42.0
71	48.0
72	43.0
73	48.0
74	49.0
75	58.0
76	65.0
77	49.0
78	42.0
79	53.0
80	57.0
81	44.0
82	43.0
83	41.0
84	34.0
85	44.0
86	51.0
87	38.0
88	49.0
89	26.0
90	33.0
91	38.0
92	45.0
93	43.0
94	27.0
95	35.0
96	44.0
97	37.0
98	33.0
99	33.0
100	35.0
101	36.0
102	45.0
103	35.0
104	30.0
105	31.0
106	31.0
107	28.0
108	38.0
109	27.0
110	27.0
111	39.0
112	30.0
113	35.0
114	36.0
115	17.0
116	34.0
117	28.0
118	31.0
119	24.0
120	35.0
121	34.0
122	32.0
123	35.0
124	29.0
125	32.0
126	33.0
127	23.0
128	29.0
129	27.0
130	25.0
131	20.0
132	23.0
133	22.0
134	22.0
135	22.0
136	21.0
137	30.0
138	26.0
139	24.0
140	39.0
141	22.0
142	27.0
143	20.0
144	25.0
145	21.0
146	31.0
147	26.0
148	28.0
149	17.0
150	16.0
151	24.0
152	9.0
153	21.0
154	20.0
155	16.0
156	15.0
157	22.0
158	17.0
159	16.0
160	18.0
161	22.0
162	27.0
163	22.0
164	20.0
165	16.0
166	23.0
167	20.0
168	22.0
169	17.0
170	16.0
171	18.0
172	18.0
173	23.0
174	17.0
175	22.0
176	23.0
177	11.0
178	16.0
179	11.0
180	17.0
181	19.0
182	20.0
183	16.0
184	22.0
185	11.0
186	13.0
187	21.0
188	16.0
189	8.0
190	23.0
191	11.0
192	13.0
193	17.0
194	15.0
195	17.0
196	16.0
197	14.0
198	16.0
199	11.0
200	11.0
201	11.0
202	10.0
203	17.0
204	12.0
205	11.0
206	18.0
207	16.0
208	11.0
209	11.0
210	15.0
211	8.0
212	10.0
213	11.0
214	13.0
215	10.0
216	16.0
217	9.0
218	11.0
219	10.0
220	13.0
221	8.0
222	4.0
223	11.0
224	13.0
225	8.0
226	7.0
227	13.0
228	7.0
229	7.0
230	13.0
231	7.0
232	13.0
233	11.0
234	12.0
235	10.0
236	14.0
237	15.0
238	12.0
239	10.0
240	9.0
241	7.0
242	16.0
243	6.0
244	7.0
245	6.0
246	8.0
